#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

californium_251_fluoride                          ([no block])                                                                     = ????????????? ?????? ??????????-251
californium_251_fluoride_flibe                    ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ??????????-251
californium_252                                   ([no block])                                                                     = ????????????? ??????????-252
californium_252_fluoride                          ([no block])                                                                     = ????????????? ?????? ??????????-252
californium_252_fluoride_flibe                    ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????? ??????????-252
fuel_tbu                                          ([no block])                                                                     = ????????????? ??????? TBU
fuel_tbu_fluoride                                 ([no block])                                                                     = ????????????? ????????? ??????? TBU
fuel_tbu_fluoride_flibe                           ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? TBU
fuel_leu_233                                      ([no block])                                                                     = ????????????? ??????? LEU-233
fuel_leu_233_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEU-233
fuel_leu_233_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEU-233
fuel_heu_233                                      ([no block])                                                                     = ????????????? ??????? HEU-233
fuel_heu_233_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEU-233
fuel_heu_233_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEU-233
fuel_leu_235                                      ([no block])                                                                     = ????????????? ??????? LEU-235
fuel_leu_235_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEU-235
fuel_leu_235_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEU-235
fuel_heu_235                                      ([no block])                                                                     = ????????????? ??????? HEU-235
fuel_heu_235_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEU-235
fuel_heu_235_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEU-235
fuel_len_236                                      ([no block])                                                                     = ????????????? ??????? LEN-236
fuel_len_236_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEN-236
fuel_len_236_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEN-236
fuel_hen_236                                      ([no block])                                                                     = ????????????? ??????? HEN-236
fuel_hen_236_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEN-236
fuel_hen_236_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEN-236
fuel_lep_239                                      ([no block])                                                                     = ????????????? ??????? LEP-239
fuel_lep_239_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEP-239
fuel_lep_239_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEP-239
fuel_hep_239                                      ([no block])                                                                     = ????????????? ??????? HEP-239
fuel_hep_239_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEP-239
fuel_hep_239_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEP-239
fuel_lep_241                                      ([no block])                                                                     = ????????????? ??????? LEP-241
fuel_lep_241_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEP-241
fuel_lep_241_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEP-241
fuel_hep_241                                      ([no block])                                                                     = ????????????? ??????? HEP-241
fuel_hep_241_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEP-241
fuel_hep_241_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEP-241
fuel_lea_242                                      ([no block])                                                                     = ????????????? ??????? LEA-242
fuel_lea_242_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEA-242
fuel_lea_242_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEA-242
fuel_hea_242                                      ([no block])                                                                     = ????????????? ??????? HEA-242
fuel_hea_242_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEA-242
fuel_hea_242_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEA-242
fuel_lecm_243                                     ([no block])                                                                     = ????????????? ??????? LECm-243
fuel_lecm_243_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? LECm-243
fuel_lecm_243_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LECm-243
fuel_hecm_243                                     ([no block])                                                                     = ????????????? ??????? HECm-243
fuel_hecm_243_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? HECm-243
fuel_hecm_243_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HECm-243
fuel_lecm_245                                     ([no block])                                                                     = ????????????? ??????? LECm-245
fuel_lecm_245_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? LECm-245
fuel_lecm_245_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LECm-245
fuel_hecm_245                                     ([no block])                                                                     = ????????????? ??????? HECm-245
fuel_hecm_245_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? HECm-245
fuel_hecm_245_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HECm-245
fuel_lecm_247                                     ([no block])                                                                     = ????????????? ??????? LECm-247
fuel_lecm_247_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? LECm-247
fuel_lecm_247_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LECm-247
fuel_hecm_247                                     ([no block])                                                                     = ????????????? ??????? HECm-247
fuel_hecm_247_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? HECm-247
fuel_hecm_247_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HECm-247
fuel_leb_248                                      ([no block])                                                                     = ????????????? ??????? LEB-248
fuel_leb_248_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? LEB-248
fuel_leb_248_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LEB-248
fuel_heb_248                                      ([no block])                                                                     = ????????????? ??????? HEB-248
fuel_heb_248_fluoride                             ([no block])                                                                     = ????????????? ????????? ??????? HEB-248
fuel_heb_248_fluoride_flibe                       ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HEB-248
fuel_lecf_249                                     ([no block])                                                                     = ????????????? ??????? LECf-249
fuel_lecf_249_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? LECf-249
fuel_lecf_249_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LECf-249
fuel_hecf_249                                     ([no block])                                                                     = ????????????? ??????? HECf-249
fuel_hecf_249_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? HECf-249
fuel_hecf_249_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HECf-249
fuel_lecf_251                                     ([no block])                                                                     = ????????????? ??????? LECf-251
fuel_lecf_251_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? LECf-251
fuel_lecf_251_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? LECf-251
fuel_hecf_251                                     ([no block])                                                                     = ????????????? ??????? HECf-251
fuel_hecf_251_fluoride                            ([no block])                                                                     = ????????????? ????????? ??????? HECf-251
fuel_hecf_251_fluoride_flibe                      ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ?????????? ??????? HECf-251
depleted_fuel_tbu                                 ([no block])                                                                     = ????????????? ?????????? ??????? TBU
depleted_fuel_tbu_fluoride                        ([no block])                                                                     = ????????????? ?????????? ????????? ??????? TBU
depleted_fuel_tbu_fluoride_flibe                  ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? TBU
depleted_fuel_leu_233                             ([no block])                                                                     = ????????????? ?????????? ??????? LEU-233
depleted_fuel_leu_233_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEU-233
depleted_fuel_leu_233_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEU-233
depleted_fuel_heu_233                             ([no block])                                                                     = ????????????? ?????????? ??????? HEU-233
depleted_fuel_heu_233_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEU-233
depleted_fuel_heu_233_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEU-233
depleted_fuel_leu_235                             ([no block])                                                                     = ????????????? ?????????? ??????? LEU-235
depleted_fuel_leu_235_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEU-235
depleted_fuel_leu_235_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEU-235
depleted_fuel_heu_235                             ([no block])                                                                     = ????????????? ?????????? ??????? HEU-235
depleted_fuel_heu_235_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEU-235
depleted_fuel_heu_235_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEU-235
depleted_fuel_len_236                             ([no block])                                                                     = ????????????? ?????????? ??????? LEN-236
depleted_fuel_len_236_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEN-236
depleted_fuel_len_236_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEN-236
depleted_fuel_hen_236                             ([no block])                                                                     = ????????????? ?????????? ??????? HEN-236
depleted_fuel_hen_236_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEN-236
depleted_fuel_hen_236_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEN-236
depleted_fuel_lep_239                             ([no block])                                                                     = ????????????? ?????????? ??????? LEP-239
depleted_fuel_lep_239_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEP-239
depleted_fuel_lep_239_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEP-239
depleted_fuel_hep_239                             ([no block])                                                                     = ????????????? ?????????? ??????? HEP-239
depleted_fuel_hep_239_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEP-239
depleted_fuel_hep_239_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEP-239
depleted_fuel_lep_241                             ([no block])                                                                     = ????????????? ?????????? ??????? LEP-241
depleted_fuel_lep_241_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEP-241
depleted_fuel_lep_241_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEP-241
depleted_fuel_hep_241                             ([no block])                                                                     = ????????????? ?????????? ??????? HEP-241
depleted_fuel_hep_241_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEP-241
depleted_fuel_hep_241_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEP-241
depleted_fuel_lea_242                             ([no block])                                                                     = ????????????? ?????????? ??????? LEA-242
depleted_fuel_lea_242_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEA-242
depleted_fuel_lea_242_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEA-242
depleted_fuel_hea_242                             ([no block])                                                                     = ????????????? ?????????? ??????? HEA-242
depleted_fuel_hea_242_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEA-242
depleted_fuel_hea_242_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEA-242
depleted_fuel_lecm_243                            ([no block])                                                                     = ????????????? ?????????? ??????? LECm-243
depleted_fuel_lecm_243_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LECm-243
depleted_fuel_lecm_243_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LECm-243
depleted_fuel_hecm_243                            ([no block])                                                                     = ????????????? ?????????? ??????? HECm-243
depleted_fuel_hecm_243_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HECm-243
depleted_fuel_hecm_243_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HECm-243
depleted_fuel_lecm_245                            ([no block])                                                                     = ????????????? ?????????? ??????? LECm-245
depleted_fuel_lecm_245_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LECm-245
depleted_fuel_lecm_245_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LECm-245
depleted_fuel_hecm_245                            ([no block])                                                                     = ????????????? ?????????? ??????? HECm-245
depleted_fuel_hecm_245_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HECm-245
depleted_fuel_hecm_245_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HECm-245
depleted_fuel_lecm_247                            ([no block])                                                                     = ????????????? ?????????? ??????? LECm-247
depleted_fuel_lecm_247_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LECm-247
depleted_fuel_lecm_247_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LECm-247
depleted_fuel_hecm_247                            ([no block])                                                                     = ????????????? ?????????? ??????? HECm-247
depleted_fuel_hecm_247_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HECm-247
depleted_fuel_hecm_247_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HECm-247
depleted_fuel_leb_248                             ([no block])                                                                     = ????????????? ?????????? ??????? LEB-248
depleted_fuel_leb_248_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LEB-248
depleted_fuel_leb_248_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LEB-248
depleted_fuel_heb_248                             ([no block])                                                                     = ????????????? ?????????? ??????? HEB-248
depleted_fuel_heb_248_fluoride                    ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HEB-248
depleted_fuel_heb_248_fluoride_flibe              ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HEB-248
depleted_fuel_lecf_249                            ([no block])                                                                     = ????????????? ?????????? ??????? LECf-249
depleted_fuel_lecf_249_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LECf-249
depleted_fuel_lecf_249_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LECf-249
depleted_fuel_hecf_249                            ([no block])                                                                     = ????????????? ?????????? ??????? HECf-249
depleted_fuel_hecf_249_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HECf-249
depleted_fuel_hecf_249_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HECf-249
depleted_fuel_lecf_251                            ([no block])                                                                     = ????????????? ?????????? ??????? LECf-251
depleted_fuel_lecf_251_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? LECf-251
depleted_fuel_lecf_251_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? LECf-251
depleted_fuel_hecf_251                            ([no block])                                                                     = ????????????? ?????????? ??????? HECf-251
depleted_fuel_hecf_251_fluoride                   ([no block])                                                                     = ????????????? ?????????? ????????? ??????? HECf-251
depleted_fuel_hecf_251_fluoride_flibe             ([no block])                                                                     = ????????????? FLiBe ??????? ??????? ?? ??????????? ?????????? ??????? HECf-251
redstone_nak                                      ([no block])                                                                     = ????????????? ????? NaK-????????
redstone_nak_hot                                  ([no block])                                                                     = ??????? ????????????? ????? NaK-????????
quartz                                            ([no block])                                                                     = ????????????? ?????
quartz_nak                                        ([no block])                                                                     = ????????????? ????? NaK-?????
quartz_nak_hot                                    ([no block])                                                                     = ??????? ????????????? ????? NaK-?????
gold_nak                                          ([no block])                                                                     = ????????????? ????? NaK-??????
gold_nak_hot                                      ([no block])                                                                     = ??????? ????????????? ????? NaK-??????
glowstone_nak                                     ([no block])                                                                     = ????????????? ????? NaK-???????????
glowstone_nak_hot                                 ([no block])                                                                     = ??????? ????????????? ????? NaK-???????????
lapis                                             ([no block])                                                                     = Molten Lapis
lapis_nak                                         ([no block])                                                                     = ????????????? ????? NaK-???????
lapis_nak_hot                                     ([no block])                                                                     = ??????? ????????????? ????? NaK-???????
diamond                                           ([no block])                                                                     = ????????????? ?????
diamond_nak                                       ([no block])                                                                     = ????????????? ????? NaK-?????
diamond_nak_hot                                   ([no block])                                                                     = ??????? ????????????? ????? NaK-?????
liquidhelium_nak                                  ([no block])                                                                     = ????????????? ????? NaK-?????
liquidhelium_nak_hot                              ([no block])                                                                     = ??????? ????????????? ????? NaK-?????
ender_nak                                         ([no block])                                                                     = ????????????? ????? NaK-?????
ender_nak_hot                                     ([no block])                                                                     = ??????? ????????????? ????? NaK-?????
cryotheum_nak                                     ([no block])                                                                     = ????????????? ????? NaK-????????
cryotheum_nak_hot                                 ([no block])                                                                     = ??????? ????????????? ????? NaK-????????
iron_nak                                          ([no block])                                                                     = ????????????? ????? NaK-??????
iron_nak_hot                                      ([no block])                                                                     = ??????? ????????????? ????? NaK-??????
emerald                                           ([no block])                                                                     = ????????????? ???????
emerald_nak                                       ([no block])                                                                     = ????????????? ????? NaK-???????
emerald_nak_hot                                   ([no block])                                                                     = ??????? ????????????? ????? NaK-???????
copper_nak                                        ([no block])                                                                     = ????????????? ????? NaK-????
copper_nak_hot                                    ([no block])                                                                     = ??????? ????????????? ????? NaK-????
tin_nak                                           ([no block])                                                                     = ????????????? ????? NaK-?????
tin_nak_hot                                       ([no block])                                                                     = ??????? ????????????? ????? NaK-?????
magnesium                                         (tconstruct:molten_magnesium)                                                    = ????????????? ??????
magnesium_nak                                     ([no block])                                                                     = ????????????? ????? NaK-??????
magnesium_nak_hot                                 ([no block])                                                                     = ??????? ????????????? ????? NaK-??????
molten_reinforced_pink_slime                      ([no block])                                                                     = ???????????? ????????? ??????? ???????
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = Liquid Plastic
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = Gasoline
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
srcrystalfluid                                    (skyresources:fluid.srcrystalfluid)                                              = Crystal Fluid
crystal_water                                     (thaumadditions:crystal_water)                                                   = ?????????? ????
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = ??????????? ?????????
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = ???? ???????
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = ??? ????????
hootch                                            (enderio:block_fluid_hootch)                                                     = ???????
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = ???????? ???????
fire_water                                        (enderio:block_fluid_fire_water)                                                 = ???????? ????
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = ?????? ????????? ????
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = ?????? ?????
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = ????????????????? ?????? ?????
flux_goo                                          (thaumcraft:flux_goo)                                                            = ???????? ???????
liquid_death                                      (thaumcraft:liquid_death)                                                        = ?????? ??????
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = ????????? ????????
stone                                             (tconstruct:molten_stone)                                                        = ????????????? ??????
obsidian                                          (tconstruct:molten_obsidian)                                                     = ????????????? ????????
clay                                              (tconstruct:molten_clay)                                                         = ????????????? ?????
dirt                                              (tconstruct:molten_dirt)                                                         = ?????? ?????
blood                                             (tconstruct:blood)                                                               = ?????
blueslime                                         (tconstruct:blueslime)                                                           = ????? ?????
purpleslime                                       (tconstruct:purpleslime)                                                         = ?????????? ?????
lifeessence                                       (bloodmagic:life_essence)                                                        = ????????? ????????
refined_life_essence                              (bloodarsenal:refined_life_essence)                                              = ?????????? ????????? ???????? 
yellorium                                         (bigreactors:yellorium)                                                          = ?????? ?????????
cyanite                                           (bigreactors:cyanite)                                                            = ?????? ??????
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
pure_metal                                        ([no block])                                                                     = Pure Metal
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = ?????? ???????? ????
hot_crude                                         ([no block])                                                                     = ??????? ????? ?????
light_oil                                         ([no block])                                                                     = ?????? ?????
heavy_oil                                         ([no block])                                                                     = ??????? ?????
natural_gas                                       ([no block])                                                                     = ????????? ???
naphtha                                           ([no block])                                                                     = ???????
oil_residue                                       ([no block])                                                                     = ???????? ?????????
wood_gas                                          ([no block])                                                                     = ????????? ???
abyssalnite                                       (jaopca:fluid_moltenabyssalnite)                                                 = ??????? ???????????
astral_starmetal                                  (jaopca:fluid_moltenastralstarmetal)                                             = ??????? ????????? ???????
draconium                                         (jaopca:fluid_moltendraconium)                                                   = ??????? ????????
liquified_coralium                                (jaopca:fluid_moltenliquifiedcoralium)                                           = ??????? ??????? ??????????
mithril                                           (jaopca:fluid_moltenmithril)                                                     = ??????? ???????
tungsten                                          (jaopca:fluid_moltentungsten)                                                    = ??????? ?????????
concrete_white                                    ([no block])                                                                     = ????? ??? ????????? (white)
concrete_orange                                   ([no block])                                                                     = ????? ??? ????????? (orange)
concrete_magenta                                  ([no block])                                                                     = ????? ??? ????????? (magenta)
concrete_light_blue                               ([no block])                                                                     = ????? ??? ????????? (light_blue)
concrete_yellow                                   ([no block])                                                                     = ????? ??? ????????? (yellow)
concrete_lime                                     ([no block])                                                                     = ????? ??? ????????? (lime)
concrete_pink                                     ([no block])                                                                     = ????? ??? ????????? (pink)
concrete_gray                                     ([no block])                                                                     = ????? ??? ????????? (gray)
concrete_silver                                   ([no block])                                                                     = ????? ??? ????????? (silver)
concrete_cyan                                     ([no block])                                                                     = ????? ??? ????????? (cyan)
concrete_purple                                   ([no block])                                                                     = ????? ??? ????????? (purple)
concrete_blue                                     ([no block])                                                                     = ????? ??? ????????? (blue)
concrete_brown                                    ([no block])                                                                     = ????? ??? ????????? (brown)
concrete_green                                    ([no block])                                                                     = ????? ??? ????????? (green)
concrete_red                                      ([no block])                                                                     = ????? ??? ????????? (red)
concrete_black                                    ([no block])                                                                     = ????? ??? ????????? (black)
multistorage:concrete                             ([no block])                                                                     = ????? ??? ????????? (deprecated, gone in 1.13)
